Full Name,Nurse Number,Nurse Type,Pay,1(Monday),2(Monday),3(Monday),4(Tuesday),5(Tuesday),6(Tuesday),7(Wednesday),8(Wednesday),9(Wednesday),10(Thursday),11(Thursday),12(Thursday),13(Friday),14(Friday),15(Friday),16(Saturday),17(Saturday),18(Saturday),19(Sunday),20(Sunday),21(Sunday),22(Monday),23(Monday),24(Monday),25(Tuesday),26(Tuesday),27(Tuesday),28(Wednesday),29(Wednesday),30(Wednesday),31(Thursday),32(Thursday),33(Thursday),34(Friday),35(Friday),36(Friday),37(Saturday),38(Saturday),39(Saturday),40(Sunday),41(Sunday),42(Sunday)
Jackeline Tiffani,1,Nurse Educator,70000,1,2,2,1,2,2,1,0,1,0,1,1,1,1,1,0,2,2,1,2,1,2,0,0,0,2,0,0,2,2,1,2,0,1,2,0,0,2,0,2,2,0
Tristen Johnathon,1,Mental Health Nursing,72000,1,2,1,2,2,2,0,2,1,0,2,0,1,2,1,2,1,2,2,0,2,1,2,2,0,2,1,2,0,2,0,0,1,2,1,0,2,1,1,1,2,1
Hilda Faye,1,Nurse Midwife,91000,1,0,2,2,2,0,2,1,1,2,1,0,0,1,1,2,2,1,2,0,0,2,1,1,2,1,0,0,0,0,1,1,2,1,1,1,1,2,1,2,1,2
Alvie Shelli,1,Registered Nurse,75000,0,2,2,1,1,1,1,0,2,2,2,1,0,0,1,1,0,0,0,0,1,1,1,0,2,1,0,1,0,1,2,0,1,1,0,0,2,0,0,1,2,1
Georgia Sabrina,1,Emergency Nursing,82000,0,0,2,2,2,0,1,2,0,1,1,2,1,1,0,2,1,1,0,1,2,2,1,2,2,0,0,0,2,0,1,0,1,2,2,1,2,2,2,1,1,1
Javonte Carmella,1,Licensed Practical Nurse,60000,0,1,2,0,2,2,2,0,1,0,1,0,1,2,2,2,1,0,1,1,0,2,0,1,0,1,1,0,0,0,0,2,0,1,1,0,2,0,0,0,1,2
Kathrine Bird,1,Registered Nurse,75000,0,2,2,2,1,0,2,1,2,1,1,1,1,0,0,0,1,0,1,2,1,0,2,0,0,1,1,0,2,2,1,2,2,2,0,2,0,0,2,0,2,1
Dee Max,1,Labor and Delivery Nurse,90000,1,0,1,2,0,1,0,0,2,2,2,1,0,2,1,0,0,0,2,1,2,0,0,2,2,0,2,2,2,1,0,2,2,1,0,2,2,2,2,0,1,1
Andy Ismael,1,Health Informatics,95000,0,2,1,1,0,1,2,0,1,1,0,2,2,0,1,2,1,1,2,0,1,1,2,1,0,1,1,2,1,0,1,1,2,0,0,0,2,0,1,0,1,1
Stan Gustavo,1,Neonatal Nurse,88000,2,1,2,0,0,2,1,2,1,0,1,2,0,2,0,0,0,1,1,1,0,1,0,2,1,0,2,1,0,1,1,0,2,1,0,1,1,0,0,0,2,2
Erma Colin,1,Labor and Delivery Nurse,90000,1,0,2,1,2,1,2,0,0,1,2,2,1,2,2,0,2,2,0,2,1,0,1,1,0,2,0,1,2,0,1,2,2,2,0,0,0,1,2,1,0,1
Benny Aron,1,Dialysis Nurse,74000,2,2,1,2,2,0,1,1,2,1,1,1,1,1,1,1,1,2,0,1,0,2,2,2,0,0,1,1,0,0,1,0,2,1,0,2,2,0,1,1,2,2
Ethel Dorris,1,Critical Care Nurse,85000,0,2,2,0,0,2,2,2,2,1,2,2,2,2,1,0,0,0,2,1,1,2,0,1,1,1,1,2,2,1,0,0,0,0,2,0,2,2,0,0,0,0
Clint Dexter,1,Registered Nurse,75000,2,2,2,2,2,0,2,1,2,2,1,0,0,1,0,0,2,0,2,0,2,0,1,1,2,0,0,0,0,2,0,1,0,1,2,2,2,2,2,1,1,0
Jaime Edwina,1,Nursing Assistant,40000,2,1,2,2,0,1,0,0,2,0,0,1,1,2,1,2,0,0,0,2,0,2,0,2,1,2,1,1,0,1,2,0,0,0,0,2,1,0,0,2,2,2
Marcella Eric,1,Labor and Delivery Nurse,90000,1,2,0,1,2,0,0,1,0,2,0,1,0,1,0,2,2,2,0,0,0,1,1,0,2,1,1,0,0,1,1,1,2,0,0,0,1,0,2,0,1,2
Allyson Tony,1,Neonatal Nurse,88000,2,2,2,1,0,0,0,0,1,0,0,0,1,0,2,2,2,2,2,1,2,1,0,1,2,0,1,1,2,0,1,2,0,1,2,2,0,0,0,2,1,1
Ashley Ona,1,Mental Health Nursing,72000,1,0,2,1,1,1,2,1,2,1,1,0,0,1,0,2,1,2,0,1,1,2,0,0,2,1,0,0,0,1,2,0,2,0,0,2,1,0,1,1,0,2
Susanna Peter,1,Registered Nurse,75000,2,0,2,2,0,0,2,0,2,0,2,1,0,1,1,1,2,0,2,0,0,2,0,2,1,0,0,0,2,2,0,0,2,1,0,0,1,1,2,2,2,2
Elna Nettie,1,Nursing Management,93000,2,0,1,2,0,1,1,2,0,0,1,2,0,2,2,2,1,2,2,0,2,0,0,0,1,1,1,1,1,1,1,1,1,2,0,0,2,2,2,1,2,1
Lois Paris,1,Health Informatics,95000,1,0,2,1,1,2,1,1,2,2,0,1,2,1,1,0,1,2,2,1,1,0,2,1,1,2,2,0,2,0,2,1,1,1,1,2,0,1,2,1,1,0
Robyn Guy,1,Gerontological Nursing,72000,1,2,1,0,0,0,1,2,0,1,1,0,1,2,1,2,2,1,0,1,0,2,0,0,0,0,2,0,1,1,2,2,1,2,2,1,1,2,1,1,1,1
Dion Osvaldo,1,Nurse Practitioner,100000,2,2,1,0,0,1,0,1,2,0,0,0,0,2,2,2,0,0,0,0,2,2,2,2,2,2,2,1,2,0,0,2,2,1,0,1,0,0,1,2,1,1
Dayton Sidney,1,Registered Nurse,75000,2,0,0,1,0,0,0,1,2,1,2,2,2,2,2,1,1,0,0,0,1,1,0,1,2,1,2,1,0,0,2,1,0,0,0,2,2,2,1,0,1,0
Mitchel Erie,1,Occupational Health Nursing,73000,0,0,1,0,0,2,2,1,1,0,2,2,1,0,0,2,2,1,1,2,0,1,0,2,1,1,0,1,0,1,1,2,2,0,2,0,2,2,0,2,1,2
Fernanda Laquita,1,Mental Health Nursing,72000,1,2,2,1,2,1,0,1,2,0,1,2,1,0,2,1,0,1,2,0,0,0,2,0,1,0,0,0,2,0,0,1,0,2,0,0,1,0,1,0,1,1
Sheena Forest,1,Nurse Midwife,91000,0,2,1,1,2,0,0,1,0,0,1,1,0,1,1,1,2,1,0,1,0,2,0,2,0,2,2,2,1,1,2,2,2,1,0,1,0,2,1,2,0,1
Brion Kelvin,1,Nurse Anesthetist,160000,0,2,1,1,0,0,1,1,2,2,2,0,2,2,0,0,2,2,0,2,2,0,1,0,2,0,1,0,0,0,1,2,1,2,1,1,1,2,2,0,2,2
Madaline Nila,1,Emergency Nursing,82000,1,2,1,0,2,0,2,1,1,0,1,2,1,2,0,2,2,1,0,1,2,1,0,0,0,0,1,1,1,2,0,2,2,1,0,1,0,2,0,1,2,1
Bessie Ramon,1,Licensed Practical Nurse,60000,1,0,1,0,0,0,1,1,1,0,2,0,0,1,2,1,0,2,2,0,0,0,1,2,1,2,1,0,0,0,0,2,1,2,1,0,1,1,0,0,2,1
James Williams,1,Mental Health Nursing,72000,2,2,0,0,0,0,1,1,0,1,0,2,2,0,1,1,0,0,2,0,0,1,1,0,0,1,2,2,2,2,1,0,0,0,2,0,0,1,0,1,1,0
Susan Lynnette,1,Nurse Anesthetist,160000,0,1,2,0,2,0,1,2,1,2,0,0,1,1,2,1,0,1,1,0,0,2,0,0,1,2,2,2,0,1,2,1,1,2,2,2,1,0,0,1,2,0
Steve Edith,1,Nurse Educator,70000,0,2,1,2,1,1,0,0,1,0,2,2,0,1,0,2,1,1,1,1,1,1,1,2,1,1,0,2,2,1,0,0,0,0,0,0,1,2,2,1,0,1
Hector Joy,1,Surgical Nurse,78000,1,2,0,2,0,0,1,2,2,2,0,0,0,0,1,2,1,0,2,0,1,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,1,2,1,0,0,1
Verne Jacob,1,Health Informatics,95000,0,1,0,0,1,1,0,1,0,2,0,0,0,2,2,2,0,2,1,0,1,1,0,2,2,2,1,0,0,2,1,2,2,2,1,1,1,1,0,0,2,1
Maybelle Winfield,1,Pediatric Nursing,68000,1,2,2,1,2,1,2,1,0,1,0,1,1,2,1,2,2,0,1,1,0,0,1,2,0,2,1,1,2,2,1,0,0,2,1,0,1,2,0,1,0,0
Wilson Toney,1,Mental Health Nursing,72000,0,0,0,0,0,0,1,2,1,0,1,1,2,0,2,1,1,2,0,0,2,0,1,2,0,1,2,1,2,2,0,2,1,2,2,0,0,2,2,0,0,1
Dorothea Elizabeth,1,Emergency Nursing,82000,2,2,1,0,2,1,0,1,1,1,2,0,0,0,1,2,1,1,0,2,0,2,2,2,0,1,2,2,2,0,0,0,0,2,2,1,2,1,2,0,2,1
Vance Angelina,1,Occupational Health Nursing,73000,1,0,0,0,0,1,1,0,2,1,1,2,1,1,2,0,0,0,2,0,0,1,1,0,2,2,1,2,2,2,0,0,0,1,0,0,1,0,0,2,1,1
Ora Paris,1,Health Informatics,95000,2,1,0,2,0,1,0,1,0,1,0,2,2,2,0,0,1,2,2,2,2,2,2,0,1,0,1,2,2,2,0,2,1,2,2,0,1,0,2,2,1,0
Beatrice Bret,1,Nurse Midwife,91000,2,1,0,1,0,2,0,1,1,0,2,0,0,0,1,0,0,0,0,1,2,2,2,1,2,1,1,2,2,2,2,1,0,0,2,0,2,2,1,0,2,0
Elwood Alverta,1,Public Health Nurse,65000,0,1,2,0,1,1,2,1,1,2,2,1,2,2,1,2,0,0,1,2,1,2,2,1,2,0,2,0,2,0,1,2,0,1,2,0,1,2,1,2,2,0
Alford Garrett,1,Health Informatics,95000,0,1,1,0,2,2,0,1,2,2,0,0,0,2,1,2,2,0,0,1,2,0,2,1,1,2,1,1,1,2,0,1,1,0,2,2,0,0,0,2,0,2
Dallas Winston,1,Nurse Practitioner,100000,0,0,2,2,2,2,0,1,0,2,0,0,2,2,0,1,0,2,1,1,1,2,0,0,2,1,1,1,0,0,0,1,0,2,2,2,0,1,0,2,2,0
Kenny Timmothy,1,Registered Nurse,75000,2,0,0,2,2,0,1,0,1,0,2,0,2,2,1,2,2,1,1,0,0,0,0,1,0,0,2,1,1,2,1,2,1,0,0,1,2,0,0,2,0,0
Omar Beatriz,1,Critical Care Nurse,85000,0,1,2,2,0,0,2,2,1,2,0,0,2,1,1,0,1,2,2,2,2,0,1,2,1,1,0,1,2,2,2,2,0,1,0,0,1,1,1,1,0,1
Travis Garth,1,Labor and Delivery Nurse,90000,2,1,2,2,1,2,1,1,2,2,0,2,0,0,2,0,2,0,0,0,1,1,0,1,1,1,1,1,2,1,2,1,2,0,0,2,0,1,1,1,0,1
Myrna Tatyana,1,Mental Health Nursing,72000,2,0,2,1,1,1,1,2,1,2,1,1,2,1,2,1,0,0,0,1,2,1,1,1,0,0,0,1,1,1,1,0,1,1,0,1,0,1,2,2,2,1
Morgan Dicie,1,Occupational Health Nursing,73000,1,2,2,0,2,2,0,2,1,1,0,2,2,0,2,2,2,2,2,0,1,1,2,0,0,1,0,0,0,1,2,2,2,2,1,0,0,2,2,0,2,0
Otto Charley,1,Gerontological Nursing,72000,1,0,1,2,0,2,1,2,0,2,1,0,2,2,2,2,1,1,1,1,1,2,2,1,0,2,0,0,2,0,0,0,0,2,2,2,2,2,2,0,1,0
Allene Stephany,1,Clinical Nurse Specialist,97000,0,0,1,0,0,1,1,1,0,1,1,1,2,1,2,1,2,2,0,1,1,1,0,2,1,1,0,2,2,2,0,1,1,2,1,2,1,2,2,1,0,1
Thaddeus Rosalinda,1,Dialysis Nurse,74000,0,0,2,1,0,2,1,2,1,1,2,2,1,0,1,0,0,1,2,1,1,0,0,1,0,0,2,1,2,1,0,2,2,2,0,2,2,0,1,2,0,0
Nella Miguel,1,Gerontological Nursing,72000,2,1,1,1,2,0,0,2,2,1,0,2,1,0,2,1,2,0,2,2,0,0,2,2,0,2,0,0,0,1,1,2,1,2,2,1,0,1,0,0,2,2
Julia Junius,1,Nursing Assistant,40000,2,1,1,1,0,2,2,2,0,2,2,0,2,2,2,1,2,0,0,0,1,0,0,2,0,1,0,1,1,1,0,1,2,2,1,0,0,0,0,0,2,2
Issac Corey,1,Nursing Management,93000,0,2,2,2,0,1,2,2,2,1,2,2,0,2,0,0,0,2,0,0,2,1,2,0,2,2,1,1,2,2,1,0,2,2,2,1,1,0,2,1,1,0
Elie Ava,1,Nursing Assistant,40000,0,0,2,1,2,1,1,0,1,2,1,1,1,0,0,0,2,1,1,2,1,0,1,1,0,2,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,2
Melville Baron,1,Nurse Anesthetist,160000,2,0,2,1,2,2,0,2,0,1,2,1,0,0,1,2,0,2,1,0,2,1,0,1,1,1,1,0,2,0,0,2,2,0,1,1,1,1,0,1,1,2
Valeria Brittanie,1,Health Informatics,95000,2,0,1,0,0,2,0,0,1,1,2,2,1,1,2,2,0,2,1,2,0,1,0,2,2,0,0,0,0,1,2,2,0,2,2,1,1,1,1,1,1,2
Roger Jean,1,Health Informatics,95000,2,1,2,0,0,1,2,0,1,1,0,0,2,2,1,1,2,0,1,2,2,1,2,0,2,0,1,1,1,0,2,2,2,1,1,1,2,0,0,0,0,2
Amie Nolan,1,Health Informatics,95000,2,2,2,1,2,2,0,1,1,2,0,1,1,1,0,2,0,1,1,2,1,0,2,2,2,0,2,2,0,1,2,0,2,0,0,0,0,2,0,1,0,0
Elois Rebekah,1,Nurse Educator,70000,1,1,0,2,0,1,2,2,1,1,2,2,1,0,2,1,1,2,2,2,2,2,2,0,2,2,2,1,1,1,0,2,2,2,2,2,0,1,0,1,0,1
Lovell Oran,1,Nurse Midwife,91000,2,2,1,1,1,2,0,0,0,2,2,2,2,1,1,0,2,1,1,2,2,0,0,1,0,2,0,0,2,0,0,1,2,2,2,0,1,1,2,1,0,2
Guillermo Jenifer,1,Emergency Nursing,82000,2,0,0,0,2,2,1,1,2,1,2,2,0,1,2,0,0,1,0,2,2,0,0,1,0,2,0,2,2,0,1,2,0,2,0,0,0,0,1,1,1,0
Olivia Arnold,1,Mental Health Nursing,72000,2,0,1,0,1,0,1,0,2,0,2,0,1,2,0,2,2,0,1,1,1,0,2,2,2,1,1,0,2,2,2,2,2,0,1,2,1,0,1,1,1,0
Clarance Libby,1,Gerontological Nursing,72000,1,0,1,0,1,1,1,2,0,0,2,1,0,2,1,0,2,2,2,0,1,2,1,2,2,2,2,0,1,2,2,0,2,1,0,0,0,0,1,2,2,2
Sarah Dina,1,Licensed Practical Nurse,60000,2,0,1,2,0,0,1,2,2,1,0,1,2,2,2,1,2,2,1,1,1,2,0,0,1,2,2,0,2,2,0,0,2,2,2,2,1,2,0,2,0,0
Dalton Delta,1,Nursing Assistant,40000,0,1,2,2,0,2,1,2,1,2,1,2,2,2,0,2,0,0,2,2,2,1,0,2,2,0,2,0,0,0,1,2,1,2,1,0,0,1,1,1,0,2
Jonas Jeromy,1,Cardiac Nursing,80000,2,1,1,1,2,1,0,2,2,0,1,1,2,2,2,0,1,1,2,1,0,2,0,2,2,2,2,1,0,1,0,2,1,0,1,2,2,0,1,1,0,0
Shiela Karen,1,Mental Health Nursing,72000,1,2,2,0,1,1,1,0,0,0,0,1,2,1,1,1,2,1,1,1,1,0,0,2,0,2,2,1,0,1,1,0,0,2,1,2,0,0,0,1,0,2
Lafayette Tina,1,Clinical Nurse Specialist,97000,0,2,1,2,1,1,2,2,1,2,1,0,2,1,1,1,2,0,2,0,0,1,2,0,0,2,1,2,1,2,1,1,0,1,0,0,0,2,0,0,0,2
Frederic Zoie,1,Nurse Anesthetist,160000,1,2,2,0,0,1,1,0,2,0,0,0,2,2,0,0,1,0,1,0,2,0,0,0,1,0,1,0,2,0,1,1,1,1,1,1,2,2,0,1,1,1
Edgar Gwendolyn,1,Gerontological Nursing,72000,2,1,0,1,2,2,2,0,2,2,2,2,2,1,2,1,2,2,1,1,0,0,2,1,1,2,0,1,1,0,0,1,2,1,1,1,2,2,2,0,2,2
Oda Warren,1,Emergency Nursing,82000,1,1,2,2,1,1,1,1,1,0,2,2,2,0,2,1,0,0,0,0,2,1,0,2,1,2,1,1,0,0,0,1,1,0,0,2,2,1,2,0,2,0
Josephine Sampson,1,Neonatal Nurse,88000,1,2,2,0,1,2,0,1,2,2,0,1,2,0,2,1,2,2,2,2,1,2,2,0,2,2,2,1,2,0,2,2,2,0,2,1,1,0,1,2,1,0
Lennie Monty,1,Gerontological Nursing,72000,2,2,2,0,0,2,2,1,2,1,1,0,0,0,0,2,1,2,2,0,0,0,0,1,2,0,2,2,1,0,0,2,1,1,1,2,2,1,0,0,0,0
Lacie Sarah,1,Critical Care Nurse,85000,0,1,2,0,1,2,0,1,1,1,0,1,0,0,2,1,0,0,1,1,1,2,1,1,0,0,2,2,1,0,2,1,2,1,1,0,0,1,0,0,1,2
Aldo Wilford,1,Labor and Delivery Nurse,90000,0,2,2,0,0,1,0,1,0,2,2,2,2,1,0,2,2,1,0,0,0,0,2,1,0,0,0,2,0,0,0,2,2,2,0,1,1,2,1,0,1,1
Elida Benito,1,Mental Health Nursing,72000,0,2,1,0,0,0,0,1,1,2,1,2,0,2,1,0,1,0,0,2,2,2,2,0,1,2,0,1,2,0,0,1,2,0,0,0,0,2,1,2,1,0
Karina Marleen,1,Neonatal Nurse,88000,2,2,2,2,1,2,2,1,2,2,1,0,1,2,0,2,2,1,1,1,1,1,0,2,1,2,0,2,2,0,1,1,2,2,1,2,1,0,1,0,0,1
Dwayne Keri,1,Nurse Anesthetist,160000,0,0,0,0,1,0,2,2,0,1,1,1,2,1,2,1,0,1,1,1,1,1,2,0,2,2,1,1,2,2,0,2,2,0,1,2,0,2,1,2,1,0
Rebecca Jeannine,1,Nurse Practitioner,100000,2,0,0,1,1,2,2,2,0,1,0,2,0,2,1,2,0,0,0,2,2,0,0,0,0,2,2,1,1,2,2,2,2,2,2,0,2,1,0,1,2,2
Brennan Lucile,1,Critical Care Nurse,85000,2,2,2,1,0,1,1,0,0,2,1,2,1,1,1,2,1,2,1,2,1,0,2,1,0,1,0,1,2,2,0,1,1,0,2,0,0,0,1,0,0,1
Courtney Vivien,1,Nursing Assistant,40000,2,2,1,2,1,1,1,0,2,1,0,1,0,0,1,0,2,2,1,2,2,2,0,1,2,1,0,0,0,1,2,0,1,1,0,1,1,0,2,1,2,1
Clare Ally,1,Occupational Health Nursing,73000,0,2,2,1,2,0,0,2,2,1,0,0,0,0,1,0,1,2,1,1,2,2,1,0,0,2,2,2,2,0,2,0,2,0,1,0,2,1,2,2,2,2
Callie Sandy,1,Clinical Nurse Specialist,97000,1,0,1,2,0,0,2,0,0,0,1,1,0,0,2,1,1,0,1,2,0,0,2,1,0,2,0,2,2,2,1,1,2,1,0,0,2,2,1,1,0,2
Lynette Danial,1,Public Health Nurse,65000,0,0,1,2,2,0,0,2,2,1,1,0,1,1,1,1,2,0,1,1,2,1,0,2,0,2,2,2,1,0,0,2,2,1,0,1,1,2,2,1,1,1
Freda Simon,1,Occupational Health Nursing,73000,1,2,1,2,0,1,1,1,2,1,2,0,0,2,2,2,0,0,1,0,0,1,1,0,2,0,1,2,0,1,1,2,2,0,0,2,1,2,0,1,0,1
Emil Ambrose,1,Pediatric Nursing,68000,0,0,2,1,2,1,0,0,0,2,2,2,1,0,2,1,0,0,1,2,1,1,1,1,1,2,2,2,0,0,2,1,1,2,2,1,2,2,2,0,0,2
Garrett Monroe,1,Nursing Management,93000,2,2,2,0,0,2,2,2,2,0,0,0,2,0,2,2,0,1,1,0,0,2,2,1,0,1,1,2,2,0,2,0,0,2,2,0,2,0,0,1,0,2
Marcos Jocelyn,1,Public Health Nurse,65000,2,2,2,2,2,1,1,1,0,2,0,1,2,0,1,1,0,2,2,0,2,2,0,0,1,0,0,1,1,1,1,2,0,0,0,1,0,2,2,2,2,2
Sandy Bernadine,1,Nurse Educator,70000,0,1,1,1,2,1,0,1,2,0,1,1,0,0,1,2,0,2,2,0,2,0,0,2,2,1,0,1,2,1,2,1,2,2,1,2,1,0,2,1,0,2
