Full Name,Nurse Number,Nurse Type,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
Santa Rene,21,NA,1,0,1,2,1,1,1,1,1,1,0,0,1,0,2,2,0,2,0,1,2,2,0,2,0,1,0,1,0,2,0,2,1,0,2,1,2,1,0,0,0,1
Collins Virgie,22,RN,1,0,2,0,2,2,2,2,0,0,2,0,0,2,0,2,0,2,0,2,1,0,2,0,0,0,1,2,2,2,0,0,1,1,0,0,0,2,0,0,1,0
Golda Lila,23,NA,0,2,2,0,1,0,2,1,0,1,2,1,2,2,0,2,0,1,1,0,1,2,0,0,2,1,0,1,1,0,0,0,2,0,1,2,2,2,2,0,2,0
Bradley Donnie,24,NA,2,0,2,0,1,1,0,1,1,1,1,2,1,2,1,2,1,1,1,1,1,2,0,1,1,0,1,1,0,1,2,1,1,1,2,1,1,0,2,1,1,1
Rey Forest,25,NA,0,2,2,1,0,1,0,1,2,0,2,2,0,2,1,2,1,1,0,2,0,2,2,0,2,2,0,0,2,2,0,0,2,2,1,1,0,2,1,2,2,2
Ruby Lilie,26,RN,2,2,0,1,1,1,0,1,0,0,2,1,0,0,2,2,2,1,1,2,2,2,2,1,0,1,1,2,2,0,2,2,0,0,1,1,2,1,1,0,0,1
Jarrad Erik,27,LPN,1,0,0,2,2,0,2,1,2,1,0,0,0,0,0,2,2,0,0,0,1,2,0,0,1,1,1,0,1,1,0,2,1,2,1,1,2,1,1,1,0,0
Vella Patricia,28,LPN,2,0,1,0,2,0,1,1,1,0,1,1,1,0,0,2,2,0,0,0,1,0,1,1,0,0,2,2,1,1,2,1,1,0,2,0,2,2,2,0,2,0
Harrison Candace,29,RN,2,2,0,2,2,0,1,0,2,0,1,1,0,2,2,2,2,2,1,1,2,0,0,2,2,1,0,0,0,2,1,1,1,2,1,0,2,1,2,1,1,2
Marcelino Dorsey,30,NA,1,2,0,1,2,1,2,2,2,0,0,2,2,2,1,0,2,0,1,1,1,1,2,2,2,2,2,2,1,1,2,0,1,1,0,1,1,0,2,1,1,0
Dina Concetta,31,LPN,1,1,1,2,2,0,0,0,2,1,0,0,1,2,2,0,2,2,2,0,1,0,1,2,0,2,2,2,0,1,2,2,1,1,0,2,2,2,1,1,1,0
Paris Benita,32,RN,2,2,0,0,0,1,0,2,1,2,1,2,1,1,2,2,0,2,1,0,0,0,1,2,2,0,2,1,2,2,2,1,1,0,2,0,2,1,0,1,1,2
Adam Anita,33,NA,0,0,2,2,0,1,2,2,0,0,2,2,0,0,0,1,1,1,1,2,2,1,2,0,0,2,2,0,0,0,0,2,1,1,1,1,1,1,2,1,1,1
Rachel Dixie,34,RN,1,1,2,2,0,2,1,1,0,0,1,0,1,2,1,2,2,0,2,2,1,2,2,0,1,0,2,2,1,2,2,2,1,1,0,1,1,1,1,0,1,1
Gary Devon,35,NA,0,2,2,0,0,0,2,0,0,0,0,2,0,1,1,0,0,1,1,0,1,1,1,2,1,1,0,2,2,0,2,1,1,2,0,1,2,0,1,1,1,1
Sophie Angela,36,LPN,0,1,0,0,2,1,2,0,0,1,0,1,2,1,2,1,1,2,0,2,0,1,2,1,2,2,1,1,0,0,0,1,2,2,2,2,1,0,0,2,2,0
Alexis Elnora,37,LPN,2,1,0,1,1,2,2,2,0,0,2,2,0,2,2,1,0,2,2,1,1,1,1,2,1,1,2,1,1,2,2,2,2,1,1,1,0,0,0,2,2,2
Sammy Joel,38,LPN,1,2,0,0,2,2,1,2,0,1,2,1,0,2,2,1,0,0,2,2,0,0,0,0,1,0,0,0,1,0,2,2,1,0,2,0,1,2,0,1,0,0
Levi Amy,39,RN,1,0,0,0,1,2,0,2,0,1,2,1,2,2,2,0,0,0,0,1,0,0,0,1,1,1,2,1,2,0,2,1,2,1,1,1,2,2,1,1,2,1
Cherry Carmine,40,NA,0,1,1,1,1,1,1,0,0,0,1,1,0,1,1,2,1,2,0,2,1,2,0,0,1,1,2,1,1,1,2,1,1,1,2,0,0,2,0,2,0,0
Farris Hiram,41,RN,2,1,2,0,1,1,1,2,0,2,0,0,2,0,0,1,2,2,0,1,1,2,1,0,1,1,1,2,1,1,1,2,2,2,1,1,0,2,1,0,1,2
Marguerite Precious,42,RN,2,2,2,1,0,1,2,2,2,0,2,1,2,2,1,2,2,1,1,2,2,2,1,0,1,1,2,1,0,1,2,2,2,1,1,1,1,2,2,1,0,1
Doreen Beatrice,43,NA,0,0,0,0,2,2,1,0,1,2,2,1,0,0,0,1,0,0,1,1,1,1,2,1,1,1,2,0,1,2,2,2,0,2,2,2,0,2,0,1,1,1
Kerrie Roderick,44,NA,0,1,0,0,1,1,1,1,0,2,2,1,1,2,1,1,1,0,2,0,0,1,0,1,2,0,0,0,2,1,2,1,0,0,0,0,1,2,0,0,2,0
Reba Mable,45,LPN,2,0,1,2,1,2,0,0,0,0,1,0,1,2,1,2,0,2,2,2,1,0,0,0,2,1,0,2,1,0,0,1,1,0,2,1,0,1,1,0,1,0
Leander Bobby,46,RN,0,0,1,1,0,2,1,0,0,1,0,1,2,1,0,0,1,0,2,1,2,0,1,2,2,0,2,2,1,2,0,0,0,2,1,0,0,0,0,0,1,0
Grant Joan,47,LPN,2,2,0,0,2,1,1,1,2,1,2,2,2,2,0,1,2,0,0,1,0,0,2,1,2,2,0,0,2,2,2,0,0,0,1,2,0,1,0,0,0,0
Bart Naoma,48,RN,1,1,1,2,0,2,2,1,2,2,1,2,0,0,2,0,0,2,2,2,1,2,0,1,2,2,2,2,2,2,1,2,1,1,0,0,1,2,0,1,1,2
Corine Glenn,49,NA,2,1,1,0,2,0,2,1,2,1,2,0,0,0,2,1,2,2,2,0,1,1,0,1,1,2,1,1,0,1,0,0,1,1,2,1,0,0,1,0,2,1
Geraldine Gabriel,50,LPN,2,2,2,0,2,0,2,1,0,2,1,0,2,2,2,0,0,2,1,1,0,2,0,2,2,0,0,0,1,0,0,1,2,0,1,2,1,2,0,1,1,2
Jerrad Wyatt,51,LPN,0,0,0,1,2,1,1,1,2,1,0,1,0,1,1,0,1,0,2,2,1,1,0,0,1,0,2,1,0,2,2,0,2,0,2,2,1,1,1,1,1,1
Wilber Bertha,52,LPN,1,0,0,1,2,2,2,2,0,2,0,2,0,2,1,2,1,2,1,1,2,0,1,1,1,1,0,0,2,0,0,2,0,0,2,0,1,2,0,1,2,2
Thora Julia,53,NA,0,2,0,1,1,1,2,2,2,1,2,1,2,1,1,1,2,0,2,1,2,1,0,0,0,0,0,2,2,1,1,1,0,0,2,1,0,0,2,0,1,1
Dalton Shon,54,LPN,1,2,2,1,2,2,0,0,0,2,0,1,1,2,2,0,2,2,2,0,0,2,1,1,0,1,1,1,2,0,1,0,1,0,1,2,0,0,2,0,1,1
Stan Elwood,55,RN,2,2,0,0,2,2,2,1,0,0,2,1,1,1,0,1,2,0,1,0,1,2,2,2,2,0,0,2,0,1,2,2,0,2,1,1,2,1,0,2,1,1
Mariah Nathan,56,RN,0,2,1,0,1,1,1,2,2,1,0,2,0,0,0,2,0,0,2,2,2,2,1,0,0,2,0,2,0,1,1,0,1,0,0,1,0,1,1,0,1,2
Berta Lemon,57,NA,0,0,0,2,2,0,2,1,1,1,1,1,0,1,2,0,1,1,2,2,1,0,1,1,1,1,0,1,0,2,2,2,1,2,1,2,1,2,2,1,0,2
Marina Ambrose,58,NA,0,0,1,2,2,2,2,0,0,0,2,0,1,0,1,0,0,2,2,2,0,2,1,1,0,1,1,1,1,2,0,1,0,2,0,1,1,2,1,2,1,2
Haywood Rochelle,59,NA,1,0,2,2,2,1,2,0,2,1,2,0,2,1,1,2,0,2,1,0,1,2,1,2,2,1,0,2,1,1,0,0,1,0,2,1,2,2,1,1,1,1
Grayce Salvatore,60,NA,0,2,1,0,0,1,2,2,0,1,0,2,0,1,0,0,0,0,0,0,0,2,0,0,0,2,0,1,0,0,1,2,1,1,0,2,1,1,1,0,2,2
Lauren Andres,61,RN,1,0,2,2,0,1,2,1,2,2,1,2,1,1,0,1,2,0,1,1,2,0,1,2,2,2,2,0,2,2,2,2,2,1,0,1,2,0,0,0,2,2
Jonnie Exie,62,LPN,2,0,1,1,0,1,1,2,0,0,2,2,0,0,2,0,1,0,2,1,1,2,0,2,0,0,0,0,1,1,1,0,0,1,0,1,0,1,2,2,1,0
Ana Erin,63,NA,0,0,0,2,0,0,1,1,2,0,0,1,0,1,2,1,0,1,2,1,1,2,1,0,0,0,2,2,1,1,1,0,0,1,1,2,2,0,1,0,1,1
Loretta Shaun,64,RN,0,0,0,0,1,0,1,1,0,0,1,0,2,1,1,1,0,0,0,2,0,2,0,2,1,0,0,2,2,0,0,1,0,0,1,0,0,1,2,1,0,0
Kevin Eileen,65,RN,0,2,1,2,0,0,1,2,0,2,1,0,0,1,0,0,2,0,1,2,2,1,0,1,1,1,1,1,0,0,2,2,2,1,2,1,1,0,1,0,0,2
Warren Auther,66,RN,2,0,0,2,1,1,1,0,1,2,0,2,2,1,1,2,1,2,0,2,0,0,2,0,0,1,1,1,1,1,2,0,0,0,0,0,2,0,2,2,2,2
Johnie Garrett,67,LPN,0,1,0,1,1,1,0,2,2,0,2,0,2,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,2,2,2,0,2,0,2,1,2,0,1,0,1,0
Vanessa Gretchen,68,RN,1,0,1,1,1,0,0,2,2,0,1,2,1,0,1,2,2,1,0,0,2,0,0,2,1,2,2,0,0,0,1,2,0,0,0,0,2,1,0,2,2,2
Arianna Brady,69,RN,0,1,1,2,0,2,1,2,1,0,0,0,1,1,1,0,2,2,2,0,0,2,1,1,1,0,1,1,1,0,1,0,0,0,2,2,2,2,0,2,2,2
Matt Loney,70,NA,1,1,1,0,1,1,1,0,1,2,1,2,0,0,2,2,0,0,0,2,2,1,1,1,1,2,1,2,0,1,2,0,2,2,0,1,2,0,1,0,0,0
Freddie Jeanette,71,LPN,2,1,0,2,0,0,0,1,0,0,1,2,1,1,1,2,1,1,1,1,0,1,2,2,0,2,0,1,0,0,0,1,0,2,2,1,2,0,2,1,2,0
Francisco Elisabeth,72,RN,2,1,1,0,2,2,0,1,0,1,1,0,1,1,1,1,2,0,2,0,0,0,1,1,1,2,1,0,0,1,0,1,0,1,1,0,1,2,2,1,1,1
Sidney Olivia,73,RN,2,2,2,2,2,1,1,2,2,2,2,1,0,0,1,0,0,1,1,0,1,2,0,0,1,2,0,2,2,2,1,1,0,2,1,0,0,0,2,1,1,0
Victor Juanita,74,LPN,0,1,0,0,0,0,2,2,0,1,1,2,2,2,2,1,2,0,1,2,0,1,1,0,1,0,2,1,1,2,1,2,1,2,0,1,2,0,1,0,2,0
Silvio Carlene,75,RN,1,0,0,1,2,0,2,2,1,1,2,2,1,2,2,1,0,1,2,0,0,1,1,0,2,2,2,0,1,2,2,1,1,2,1,1,1,0,0,0,2,0
Ramiro Hassan,76,NA,1,0,2,1,1,2,2,1,0,1,2,1,2,0,1,0,2,2,0,1,2,2,0,1,1,1,1,2,2,0,0,0,1,2,2,2,0,1,1,2,1,0
Rosendo Christian,77,RN,1,1,2,2,2,1,2,1,0,0,1,0,2,2,1,1,2,1,1,2,1,2,1,2,0,2,2,2,1,1,0,2,1,2,2,0,1,2,2,2,2,2
Julianna Tayler,78,NA,2,0,2,2,2,2,1,0,0,0,0,0,1,1,1,1,2,0,0,0,1,1,0,2,2,1,0,2,2,2,0,2,1,1,2,0,2,2,2,1,1,2
Preston Calvin,79,LPN,2,0,2,1,2,1,0,1,1,1,1,1,1,0,0,0,1,0,2,2,0,0,1,1,2,2,0,2,1,1,1,1,0,2,2,1,2,2,0,0,2,1
Ruben Columbus,80,LPN,2,0,0,0,0,2,2,0,0,2,1,0,1,2,2,2,1,1,0,2,0,2,1,1,1,2,0,2,2,2,0,2,0,0,1,2,0,2,2,1,2,2
Tricia Victoriano,81,NA,2,0,0,2,1,1,1,2,0,2,0,2,0,0,0,1,1,2,2,1,0,0,1,0,2,0,0,1,2,0,0,0,0,0,1,2,0,2,1,2,0,1
Millard Florian,82,RN,1,1,2,1,2,2,2,1,2,0,1,0,1,0,2,0,1,1,1,0,0,2,2,2,0,0,2,0,1,2,1,2,0,1,1,0,2,0,1,2,0,2
Marcy Marcus,83,LPN,0,0,2,2,2,0,2,1,0,1,0,2,1,1,2,1,2,2,1,0,0,0,1,0,2,2,1,2,2,0,1,0,2,2,1,1,0,2,0,1,2,1
Rowena Casey,84,LPN,2,0,0,0,0,0,2,1,2,0,2,0,2,0,0,2,1,1,0,1,0,2,2,2,2,0,1,1,2,0,1,1,1,2,0,1,0,1,2,2,1,0
Zoe Vito,85,LPN,0,2,0,0,1,1,1,1,0,0,1,0,0,2,2,1,2,0,0,0,0,2,0,1,1,2,2,1,0,2,2,2,1,0,0,0,2,0,1,0,0,0
Leon Lois,86,LPN,2,0,2,0,0,2,1,0,2,2,1,0,2,1,1,0,1,0,2,0,0,2,0,0,2,2,1,1,2,1,1,0,0,1,0,2,2,2,1,1,1,1
Sallie Nick,87,RN,2,2,2,1,1,0,2,0,2,2,0,1,0,2,2,2,1,0,1,1,0,0,2,1,0,0,1,1,0,1,0,0,0,2,0,0,0,1,1,0,2,2
Carlton Noreen,88,RN,2,2,1,1,0,0,1,2,0,0,1,1,2,0,1,2,0,1,1,0,2,1,0,0,0,1,1,0,0,0,0,0,1,1,0,2,2,0,0,0,1,2
Janis Elbert,89,LPN,1,2,0,1,1,0,0,2,0,0,0,1,0,1,1,2,1,2,2,1,1,1,2,0,2,1,1,1,1,2,0,1,2,1,1,0,1,0,1,0,1,0
Arron Eleanore,90,LPN,2,2,0,2,2,2,2,2,0,1,2,0,2,1,2,1,1,2,2,1,1,0,1,2,0,0,0,1,1,2,2,2,0,2,1,2,2,1,2,2,2,0
Amos Jimmie,91,LPN,2,1,2,0,0,2,0,0,1,0,2,0,1,0,0,0,1,1,0,0,1,0,2,1,1,2,1,1,0,0,1,1,2,1,0,2,1,1,2,0,0,1
Gus Darrell,92,LPN,2,0,1,1,0,2,1,0,0,0,0,0,2,1,1,0,1,2,1,0,0,0,1,2,1,2,1,0,1,2,2,2,1,2,0,1,2,2,0,0,2,0
Byrd Tracie,93,LPN,0,1,2,0,2,1,2,1,1,0,0,0,2,1,2,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,2,2,2,2,2,1,0,2,2,1
Callie Dennis,94,NA,0,0,1,2,2,2,1,2,2,2,1,1,2,1,1,1,0,0,2,0,1,1,2,2,1,2,1,2,2,1,1,1,0,0,2,1,1,0,2,0,2,1
Robert Judith,95,LPN,2,1,1,2,1,1,2,2,1,2,1,1,0,0,1,0,2,0,1,1,0,2,2,0,2,0,1,2,0,0,2,0,2,2,1,1,2,0,1,0,1,2
Gregory Billie,96,RN,1,2,2,0,2,1,0,0,1,1,2,0,2,1,1,0,2,1,1,1,2,2,1,1,0,1,0,1,2,1,0,1,1,2,0,0,0,2,1,0,0,1
Jaleel Wilber,97,LPN,0,2,2,2,2,0,2,2,0,0,2,0,0,0,0,2,2,0,1,2,0,2,2,1,2,0,2,0,2,2,2,0,0,1,0,1,1,2,2,1,1,2
Lavada Malik,98,RN,0,2,2,2,1,1,2,0,1,2,1,0,1,1,0,0,1,1,2,2,1,1,2,2,2,2,0,0,0,0,2,0,0,0,2,0,1,2,1,2,2,1
Barbara Isham,99,NA,1,2,1,2,0,1,1,1,1,1,0,0,2,1,2,1,1,2,1,0,2,1,1,2,0,0,2,1,0,1,2,2,1,0,0,2,2,1,2,2,2,2
Odis Rhoda,100,NA,0,0,0,2,2,1,2,1,2,0,1,2,1,2,1,2,0,0,1,0,0,2,0,2,1,1,1,0,0,1,2,1,2,1,0,2,0,1,0,2,1,2
Nicolas Albertine,101,LPN,1,1,0,2,0,1,1,1,0,0,0,2,2,2,2,1,1,1,1,1,0,1,1,2,1,2,2,2,0,2,1,0,2,0,1,1,0,0,1,1,1,0
Alois Hank,102,NA,0,2,0,0,0,0,2,0,1,2,2,0,2,0,0,0,0,2,1,1,2,1,0,1,1,0,1,0,0,2,1,0,1,2,2,1,0,0,2,1,1,0
Xavier Eli,103,RN,1,2,2,2,2,1,0,0,0,0,1,2,0,2,1,1,1,1,2,1,0,2,1,2,1,1,1,2,0,2,2,2,1,0,2,0,0,0,1,2,2,0
Araceli Alycia,104,RN,1,0,2,2,1,1,1,0,2,2,0,0,2,0,2,0,0,1,2,1,1,0,0,0,0,2,2,0,2,2,0,2,2,1,2,0,2,2,0,0,1,1
Myron Lionel,105,LPN,0,0,0,2,0,0,1,1,2,0,0,0,1,1,0,1,0,1,2,2,2,1,0,0,2,1,0,2,0,0,0,1,2,1,0,1,1,1,2,2,1,1
Eldridge Marvin,106,NA,1,2,2,1,2,0,2,0,0,1,1,2,0,0,2,0,0,2,1,0,0,1,0,2,1,0,1,1,1,2,0,0,0,1,2,2,2,0,1,0,0,1
Christina Opal,107,LPN,2,0,1,2,1,1,1,2,1,0,2,2,0,0,2,0,2,0,0,0,1,1,1,2,0,0,0,1,1,2,2,1,2,2,1,2,1,1,2,0,0,0
Silas Rosia,108,NA,0,2,0,0,0,2,2,1,1,2,1,0,0,2,0,2,2,0,2,1,0,0,2,1,0,1,2,2,1,0,2,1,1,2,0,2,2,2,0,2,1,1
Karon Katlyn,109,NA,1,2,1,1,0,2,0,2,2,1,2,2,0,0,0,0,2,2,0,1,0,0,0,0,1,0,0,2,2,0,1,0,1,0,0,2,0,2,0,0,1,1
Rupert Leilani,110,LPN,0,1,2,0,1,0,0,2,2,2,2,0,1,1,2,0,0,1,1,1,0,1,2,0,2,2,1,2,0,1,2,2,2,1,0,1,2,1,0,2,1,0
Leo Marion,111,NA,2,2,2,0,2,0,1,0,2,0,0,0,2,0,2,2,2,2,0,2,0,1,1,2,1,0,0,2,1,2,1,2,1,0,0,1,2,0,1,0,0,2
Sharonda Charmaine,112,LPN,1,1,0,2,2,2,1,2,1,2,1,2,2,2,2,2,0,2,2,1,0,1,2,1,2,1,1,1,2,2,1,2,1,1,0,1,2,2,2,0,1,0
Merri Nat,113,LPN,2,2,0,0,0,2,0,2,1,1,0,1,0,2,1,1,0,1,1,2,2,0,0,0,1,1,0,2,1,1,0,0,1,0,0,2,1,0,0,0,0,0
Nathan Nicholas,114,LPN,1,1,0,0,0,0,1,1,2,1,2,2,2,0,1,1,0,1,1,1,1,1,0,0,1,2,0,0,0,0,2,1,0,0,2,0,2,0,0,2,1,0
Ben Dulce,115,RN,0,1,0,0,2,2,0,0,1,2,1,2,0,2,2,2,0,1,0,0,2,1,1,1,0,2,0,2,1,0,0,0,0,1,0,1,2,2,0,1,1,0
Ramon Humberto,116,RN,0,2,1,2,2,1,0,0,2,1,2,2,1,0,0,0,2,1,1,2,1,1,0,0,2,2,0,2,2,2,0,0,1,2,1,1,1,0,1,1,2,1
Arnold Kyle,117,NA,0,0,1,0,0,1,0,1,2,2,1,2,1,1,2,1,0,2,1,2,2,0,2,2,1,0,0,2,0,1,1,0,0,2,0,0,1,2,0,0,2,1
Dixie Stuart,118,NA,0,2,2,1,1,1,2,2,2,0,1,0,2,2,1,2,2,2,2,2,0,0,0,1,0,2,0,0,1,1,0,2,1,2,1,2,1,0,2,1,1,0
Arne Mason,119,NA,1,0,0,1,0,1,2,1,2,2,0,2,0,0,2,1,2,0,2,1,1,0,2,2,0,2,2,0,2,2,1,1,0,1,1,0,1,1,0,1,2,1
Otto Retha,120,NA,2,1,2,2,1,2,1,2,0,1,1,1,1,2,1,1,2,1,1,2,2,2,1,0,1,1,1,0,0,1,0,0,2,1,0,1,0,0,0,2,0,0
Hoyt Glynn,121,NA,0,0,2,2,2,0,1,2,0,2,2,2,1,1,2,0,1,2,1,1,1,2,0,0,1,1,2,0,2,1,0,2,2,0,0,0,0,1,1,1,1,0
Margie Odell,122,LPN,1,0,2,1,2,1,0,2,2,0,0,0,0,0,0,1,0,2,0,0,0,2,2,0,2,1,1,2,0,0,2,1,0,2,1,2,2,1,2,1,0,2
Shelby Elmer,123,RN,0,2,0,0,1,0,1,2,2,1,2,1,2,1,2,0,1,2,0,0,1,1,0,0,2,1,0,0,0,0,1,1,1,2,2,2,0,0,1,0,1,0
Giselle Thomas,124,NA,2,2,0,1,2,2,1,2,2,2,1,1,1,0,2,2,0,1,1,0,2,1,0,1,2,2,2,0,1,0,2,0,2,2,2,1,2,0,2,1,0,2
Hayley Pearl,125,NA,0,0,2,0,2,1,1,0,1,2,1,0,1,1,1,2,2,2,0,0,2,1,1,1,1,0,2,1,0,1,2,0,1,0,0,2,0,1,2,2,1,0
Tyler Honora,126,RN,0,2,1,0,0,2,2,0,2,1,0,0,1,1,1,1,2,1,0,0,2,2,1,2,2,0,0,2,1,2,1,1,1,2,2,1,1,0,0,0,2,1
Cornelia Sharon,127,RN,1,1,0,2,0,2,1,0,0,0,1,0,2,2,1,1,1,0,0,0,1,2,0,1,0,2,1,1,1,0,2,1,0,0,1,1,0,1,0,2,0,0
Toby Emmett,128,LPN,2,1,2,1,0,2,1,2,0,2,1,0,1,2,2,2,2,2,1,1,0,1,2,2,2,0,1,1,2,1,1,2,0,0,1,2,1,2,1,1,2,2
Glenn Paulette,129,LPN,0,1,2,2,0,1,1,1,2,2,0,0,2,0,1,0,2,1,0,0,2,0,2,0,0,0,1,0,0,2,0,0,0,2,2,2,0,0,2,2,2,0
Rosina Armani,130,NA,0,0,1,1,1,1,2,1,0,0,2,1,1,0,2,1,1,2,2,2,2,1,0,0,1,2,1,2,1,1,1,0,2,2,2,0,1,0,2,2,0,0
Darcy Vernon,131,NA,0,0,2,0,2,0,0,2,0,2,1,0,2,2,2,1,1,0,0,0,1,1,0,0,2,2,2,2,2,1,0,0,0,2,2,0,1,0,0,1,2,1
Lonnie Issac,132,NA,1,0,1,2,0,2,1,0,2,0,2,2,0,0,2,0,2,2,1,1,0,2,0,0,2,0,0,1,1,1,2,1,0,0,2,2,0,1,1,1,2,2
Isabelle Jimmie,133,NA,0,0,0,0,2,0,1,2,0,2,1,2,0,0,2,0,2,1,0,1,0,2,1,2,1,1,1,0,2,2,0,2,2,0,2,1,1,1,2,0,0,2
Valerie Ivy,134,RN,2,2,2,1,1,1,1,2,2,2,0,1,2,2,0,1,0,0,0,1,2,0,1,1,1,2,0,1,0,1,2,2,0,2,2,2,1,2,1,0,0,2
Jimmie Randal,135,LPN,2,2,0,2,1,2,1,2,1,1,2,2,1,1,1,2,1,2,2,2,1,1,0,0,0,2,1,1,1,0,1,2,2,0,0,1,0,0,0,0,0,2
Gussie Kathi,136,LPN,2,1,2,0,0,1,0,0,0,1,2,2,2,1,0,2,1,2,1,2,1,0,0,2,1,1,0,2,2,2,1,1,2,0,0,0,2,0,0,1,2,1
Lulu Wilfred,137,LPN,1,2,0,2,2,2,0,2,1,2,0,0,2,2,0,1,1,1,1,1,2,2,2,2,0,0,2,1,1,0,0,0,2,0,1,0,1,1,1,2,1,0
Ann Justine,138,NA,0,1,2,2,1,1,1,0,1,0,1,1,2,2,0,2,1,1,2,2,0,2,1,0,0,0,2,2,0,2,2,0,0,0,2,2,0,2,1,1,2,0
Darron Irma,139,NA,0,0,1,0,2,0,0,0,2,0,1,0,0,2,1,2,1,1,1,1,2,0,0,1,2,0,2,1,2,1,0,2,0,2,0,0,2,1,1,2,0,0
James Geoffrey,140,NA,2,1,2,0,2,2,0,0,1,1,2,1,1,2,1,2,2,2,1,1,2,2,2,2,2,2,2,0,2,2,0,1,1,1,0,2,1,2,0,0,2,2
