Full Name,Nurse Number,Nurse Type,Nurse Department,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
Golda Lila,23,NA,Oncology,0,2,2,0,1,0,2,1,0,1,2,1,2,2,0,2,0,1,1,0,1,2,0,0,2,1,0,1,1,0,0,0,2,0,1,2,2,2,2,0,2,0
Bradley Donnie,24,NA,Oncology,2,0,2,0,1,1,0,1,1,1,1,2,1,2,1,2,1,1,1,1,1,2,0,1,1,0,1,1,0,1,2,1,1,1,2,1,1,0,2,1,1,1
Rey Forest,25,NA,Surgery,0,2,2,1,0,1,0,1,2,0,2,2,0,2,1,2,1,1,0,2,0,2,2,0,2,2,0,0,2,2,0,0,2,2,1,1,0,2,1,2,2,2
Ruby Lilie,26,RN,Surgery,2,2,0,1,1,1,0,1,0,0,2,1,0,0,2,2,2,1,1,2,2,2,2,1,0,1,1,2,2,0,2,2,0,0,1,1,2,1,1,0,0,1
Jarrad Erik,27,LPN,Pediatric,1,0,0,2,2,0,2,1,2,1,0,0,0,0,0,2,2,0,0,0,1,2,0,0,1,1,1,0,1,1,0,2,1,2,1,1,2,1,1,1,0,0
Vella Patricia,28,LPN,Surgery,2,0,1,0,2,0,1,1,1,0,1,1,1,0,0,2,2,0,0,0,1,0,1,1,0,0,2,2,1,1,2,1,1,0,2,0,2,2,2,0,2,0
Harrison Candace,29,RN,Pediatric,2,2,0,2,2,0,1,0,2,0,1,1,0,2,2,2,2,2,1,1,2,0,0,2,2,1,0,0,0,2,1,1,1,2,1,0,2,1,2,1,1,2
Marcelino Dorsey,30,NA,Surgery,1,2,0,1,2,1,2,2,2,0,0,2,2,2,1,0,2,0,1,1,1,1,2,2,2,2,2,2,1,1,2,0,1,1,0,1,1,0,2,1,1,0
Dina Concetta,31,LPN,Pediatric,1,1,1,2,2,0,0,0,2,1,0,0,1,2,2,0,2,2,2,0,1,0,1,2,0,2,2,2,0,1,2,2,1,1,0,2,2,2,1,1,1,0
Paris Benita,32,RN,Surgery,2,2,0,0,0,1,0,2,1,2,1,2,1,1,2,2,0,2,1,0,0,0,1,2,2,0,2,1,2,2,2,1,1,0,2,0,2,1,0,1,1,2
Adam Anita,33,NA,Pediatric,0,0,2,2,0,1,2,2,0,0,2,2,0,0,0,1,1,1,1,2,2,1,2,0,0,2,2,0,0,0,0,2,1,1,1,1,1,1,2,1,1,1
Rachel Dixie,34,RN,Oncology,1,1,2,2,0,2,1,1,0,0,1,0,1,2,1,2,2,0,2,2,1,2,2,0,1,0,2,2,1,2,2,2,1,1,0,1,1,1,1,0,1,1
Gary Devon,35,NA,Pediatric,0,2,2,0,0,0,2,0,0,0,0,2,0,1,1,0,0,1,1,0,1,1,1,2,1,1,0,2,2,0,2,1,1,2,0,1,2,0,1,1,1,1
Sophie Angela,36,LPN,Surgery,0,1,0,0,2,1,2,0,0,1,0,1,2,1,2,1,1,2,0,2,0,1,2,1,2,2,1,1,0,0,0,1,2,2,2,2,1,0,0,2,2,0
Alexis Elnora,37,LPN,Oncology,2,1,0,1,1,2,2,2,0,0,2,2,0,2,2,1,0,2,2,1,1,1,1,2,1,1,2,1,1,2,2,2,2,1,1,1,0,0,0,2,2,2
Sammy Joel,38,LPN,Surgery,1,2,0,0,2,2,1,2,0,1,2,1,0,2,2,1,0,0,2,2,0,0,0,0,1,0,0,0,1,0,2,2,1,0,2,0,1,2,0,1,0,0
Levi Amy,39,RN,Oncology,1,0,0,0,1,2,0,2,0,1,2,1,2,2,2,0,0,0,0,1,0,0,0,1,1,1,2,1,2,0,2,1,2,1,1,1,2,2,1,1,2,1
Cherry Carmine,40,NA,Surgery,0,1,1,1,1,1,1,0,0,0,1,1,0,1,1,2,1,2,0,2,1,2,0,0,1,1,2,1,1,1,2,1,1,1,2,0,0,2,0,2,0,0
Farris Hiram,41,RN,Oncology,2,1,2,0,1,1,1,2,0,2,0,0,2,0,0,1,2,2,0,1,1,2,1,0,1,1,1,2,1,1,1,2,2,2,1,1,0,2,1,0,1,2
Marguerite Precious,42,RN,Oncology,2,2,2,1,0,1,2,2,2,0,2,1,2,2,1,2,2,1,1,2,2,2,1,0,1,1,2,1,0,1,2,2,2,1,1,1,1,2,2,1,0,1
Doreen Beatrice,43,NA,Oncology,0,0,0,0,2,2,1,0,1,2,2,1,0,0,0,1,0,0,1,1,1,1,2,1,1,1,2,0,1,2,2,2,0,2,2,2,0,2,0,1,1,1
Kerrie Roderick,44,NA,Surgery,0,1,0,0,1,1,1,1,0,2,2,1,1,2,1,1,1,0,2,0,0,1,0,1,2,0,0,0,2,1,2,1,0,0,0,0,1,2,0,0,2,0
Reba Mable,45,LPN,Pediatric,2,0,1,2,1,2,0,0,0,0,1,0,1,2,1,2,0,2,2,2,1,0,0,0,2,1,0,2,1,0,0,1,1,0,2,1,0,1,1,0,1,0
Leander Bobby,46,RN,Surgery,0,0,1,1,0,2,1,0,0,1,0,1,2,1,0,0,1,0,2,1,2,0,1,2,2,0,2,2,1,2,0,0,0,2,1,0,0,0,0,0,1,0
Grant Joan,47,LPN,Oncology,2,2,0,0,2,1,1,1,2,1,2,2,2,2,0,1,2,0,0,1,0,0,2,1,2,2,0,0,2,2,2,0,0,0,1,2,0,1,0,0,0,0
Bart Naoma,48,RN,Oncology,1,1,1,2,0,2,2,1,2,2,1,2,0,0,2,0,0,2,2,2,1,2,0,1,2,2,2,2,2,2,1,2,1,1,0,0,1,2,0,1,1,2
Corine Glenn,49,NA,Oncology,2,1,1,0,2,0,2,1,2,1,2,0,0,0,2,1,2,2,2,0,1,1,0,1,1,2,1,1,0,1,0,0,1,1,2,1,0,0,1,0,2,1
Geraldine Gabriel,50,LPN,Surgery,2,2,2,0,2,0,2,1,0,2,1,0,2,2,2,0,0,2,1,1,0,2,0,2,2,0,0,0,1,0,0,1,2,0,1,2,1,2,0,1,1,2
Jerrad Wyatt,51,LPN,Pediatric,0,0,0,1,2,1,1,1,2,1,0,1,0,1,1,0,1,0,2,2,1,1,0,0,1,0,2,1,0,2,2,0,2,0,2,2,1,1,1,1,1,1
Wilber Bertha,52,LPN,Surgery,1,0,0,1,2,2,2,2,0,2,0,2,0,2,1,2,1,2,1,1,2,0,1,1,1,1,0,0,2,0,0,2,0,0,2,0,1,2,0,1,2,2
Thora Julia,53,NA,Pediatric,0,2,0,1,1,1,2,2,2,1,2,1,2,1,1,1,2,0,2,1,2,1,0,0,0,0,0,2,2,1,1,1,0,0,2,1,0,0,2,0,1,1
Dalton Shon,54,LPN,Surgery,1,2,2,1,2,2,0,0,0,2,0,1,1,2,2,0,2,2,2,0,0,2,1,1,0,1,1,1,2,0,1,0,1,0,1,2,0,0,2,0,1,1
Stan Elwood,55,RN,Pediatric,2,2,0,0,2,2,2,1,0,0,2,1,1,1,0,1,2,0,1,0,1,2,2,2,2,0,0,2,0,1,2,2,0,2,1,1,2,1,0,2,1,1
Mariah Nathan,56,RN,Pediatric,0,2,1,0,1,1,1,2,2,1,0,2,0,0,0,2,0,0,2,2,2,2,1,0,0,2,0,2,0,1,1,0,1,0,0,1,0,1,1,0,1,2
Berta Lemon,57,NA,Oncology,0,0,0,2,2,0,2,1,1,1,1,1,0,1,2,0,1,1,2,2,1,0,1,1,1,1,0,1,0,2,2,2,1,2,1,2,1,2,2,1,0,2
Marina Ambrose,58,NA,Surgery,0,0,1,2,2,2,2,0,0,0,2,0,1,0,1,0,0,2,2,2,0,2,1,1,0,1,1,1,1,2,0,1,0,2,0,1,1,2,1,2,1,2
Haywood Rochelle,59,NA,Surgery,1,0,2,2,2,1,2,0,2,1,2,0,2,1,1,2,0,2,1,0,1,2,1,2,2,1,0,2,1,1,0,0,1,0,2,1,2,2,1,1,1,1
Grayce Salvatore,60,NA,Oncology,0,2,1,0,0,1,2,2,0,1,0,2,0,1,0,0,0,0,0,0,0,2,0,0,0,2,0,1,0,0,1,2,1,1,0,2,1,1,1,0,2,2
Lauren Andres,61,RN,Oncology,1,0,2,2,0,1,2,1,2,2,1,2,1,1,0,1,2,0,1,1,2,0,1,2,2,2,2,0,2,2,2,2,2,1,0,1,2,0,0,0,2,2
Jonnie Exie,62,LPN,Surgery,2,0,1,1,0,1,1,2,0,0,2,2,0,0,2,0,1,0,2,1,1,2,0,2,0,0,0,0,1,1,1,0,0,1,0,1,0,1,2,2,1,0
Ana Erin,63,NA,Oncology,0,0,0,2,0,0,1,1,2,0,0,1,0,1,2,1,0,1,2,1,1,2,1,0,0,0,2,2,1,1,1,0,0,1,1,2,2,0,1,0,1,1
Loretta Shaun,64,RN,Oncology,0,0,0,0,1,0,1,1,0,0,1,0,2,1,1,1,0,0,0,2,0,2,0,2,1,0,0,2,2,0,0,1,0,0,1,0,0,1,2,1,0,0
Kevin Eileen,65,RN,Oncology,0,2,1,2,0,0,1,2,0,2,1,0,0,1,0,0,2,0,1,2,2,1,0,1,1,1,1,1,0,0,2,2,2,1,2,1,1,0,1,0,0,2
Warren Auther,66,RN,Pediatric,2,0,0,2,1,1,1,0,1,2,0,2,2,1,1,2,1,2,0,2,0,0,2,0,0,1,1,1,1,1,2,0,0,0,0,0,2,0,2,2,2,2
Johnie Garrett,67,LPN,Surgery,0,1,0,1,1,1,0,2,2,0,2,0,2,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,2,2,2,0,2,0,2,1,2,0,1,0,1,0
Vanessa Gretchen,68,RN,Oncology,1,0,1,1,1,0,0,2,2,0,1,2,1,0,1,2,2,1,0,0,2,0,0,2,1,2,2,0,0,0,1,2,0,0,0,0,2,1,0,2,2,2
Arianna Brady,69,RN,Pediatric,0,1,1,2,0,2,1,2,1,0,0,0,1,1,1,0,2,2,2,0,0,2,1,1,1,0,1,1,1,0,1,0,0,0,2,2,2,2,0,2,2,2
Matt Loney,70,NA,Surgery,1,1,1,0,1,1,1,0,1,2,1,2,0,0,2,2,0,0,0,2,2,1,1,1,1,2,1,2,0,1,2,0,2,2,0,1,2,0,1,0,0,0
Freddie Jeanette,71,LPN,Pediatric,2,1,0,2,0,0,0,1,0,0,1,2,1,1,1,2,1,1,1,1,0,1,2,2,0,2,0,1,0,0,0,1,0,2,2,1,2,0,2,1,2,0
Francisco Elisabeth,72,RN,Surgery,2,1,1,0,2,2,0,1,0,1,1,0,1,1,1,1,2,0,2,0,0,0,1,1,1,2,1,0,0,1,0,1,0,1,1,0,1,2,2,1,1,1
Sidney Olivia,73,RN,Surgery,2,2,2,2,2,1,1,2,2,2,2,1,0,0,1,0,0,1,1,0,1,2,0,0,1,2,0,2,2,2,1,1,0,2,1,0,0,0,2,1,1,0
Victor Juanita,74,LPN,Oncology,0,1,0,0,0,0,2,2,0,1,1,2,2,2,2,1,2,0,1,2,0,1,1,0,1,0,2,1,1,2,1,2,1,2,0,1,2,0,1,0,2,0
Silvio Carlene,75,RN,Pediatric,1,0,0,1,2,0,2,2,1,1,2,2,1,2,2,1,0,1,2,0,0,1,1,0,2,2,2,0,1,2,2,1,1,2,1,1,1,0,0,0,2,0
Ramiro Hassan,76,NA,Oncology,1,0,2,1,1,2,2,1,0,1,2,1,2,0,1,0,2,2,0,1,2,2,0,1,1,1,1,2,2,0,0,0,1,2,2,2,0,1,1,2,1,0
Rosendo Christian,77,RN,Pediatric,1,1,2,2,2,1,2,1,0,0,1,0,2,2,1,1,2,1,1,2,1,2,1,2,0,2,2,2,1,1,0,2,1,2,2,0,1,2,2,2,2,2
Julianna Tayler,78,NA,Oncology,2,0,2,2,2,2,1,0,0,0,0,0,1,1,1,1,2,0,0,0,1,1,0,2,2,1,0,2,2,2,0,2,1,1,2,0,2,2,2,1,1,2
Preston Calvin,79,LPN,Oncology,2,0,2,1,2,1,0,1,1,1,1,1,1,0,0,0,1,0,2,2,0,0,1,1,2,2,0,2,1,1,1,1,0,2,2,1,2,2,0,0,2,1
Ruben Columbus,80,LPN,Pediatric,2,0,0,0,0,2,2,0,0,2,1,0,1,2,2,2,1,1,0,2,0,2,1,1,1,2,0,2,2,2,0,2,0,0,1,2,0,2,2,1,2,2
Tricia Victoriano,81,NA,Surgery,2,0,0,2,1,1,1,2,0,2,0,2,0,0,0,1,1,2,2,1,0,0,1,0,2,0,0,1,2,0,0,0,0,0,1,2,0,2,1,2,0,1
Millard Florian,82,RN,Pediatric,1,1,2,1,2,2,2,1,2,0,1,0,1,0,2,0,1,1,1,0,0,2,2,2,0,0,2,0,1,2,1,2,0,1,1,0,2,0,1,2,0,2
Marcy Marcus,83,LPN,Surgery,0,0,2,2,2,0,2,1,0,1,0,2,1,1,2,1,2,2,1,0,0,0,1,0,2,2,1,2,2,0,1,0,2,2,1,1,0,2,0,1,2,1
Rowena Casey,84,LPN,Surgery,2,0,0,0,0,0,2,1,2,0,2,0,2,0,0,2,1,1,0,1,0,2,2,2,2,0,1,1,2,0,1,1,1,2,0,1,0,1,2,2,1,0
Zoe Vito,85,LPN,Pediatric,0,2,0,0,1,1,1,1,0,0,1,0,0,2,2,1,2,0,0,0,0,2,0,1,1,2,2,1,0,2,2,2,1,0,0,0,2,0,1,0,0,0
Leon Lois,86,LPN,Surgery,2,0,2,0,0,2,1,0,2,2,1,0,2,1,1,0,1,0,2,0,0,2,0,0,2,2,1,1,2,1,1,0,0,1,0,2,2,2,1,1,1,1
Sallie Nick,87,RN,Oncology,2,2,2,1,1,0,2,0,2,2,0,1,0,2,2,2,1,0,1,1,0,0,2,1,0,0,1,1,0,1,0,0,0,2,0,0,0,1,1,0,2,2
Carlton Noreen,88,RN,Pediatric,2,2,1,1,0,0,1,2,0,0,1,1,2,0,1,2,0,1,1,0,2,1,0,0,0,1,1,0,0,0,0,0,1,1,0,2,2,0,0,0,1,2
Janis Elbert,89,LPN,Surgery,1,2,0,1,1,0,0,2,0,0,0,1,0,1,1,2,1,2,2,1,1,1,2,0,2,1,1,1,1,2,0,1,2,1,1,0,1,0,1,0,1,0
Arron Eleanore,90,LPN,Oncology,2,2,0,2,2,2,2,2,0,1,2,0,2,1,2,1,1,2,2,1,1,0,1,2,0,0,0,1,1,2,2,2,0,2,1,2,2,1,2,2,2,0
Amos Jimmie,91,LPN,Oncology,2,1,2,0,0,2,0,0,1,0,2,0,1,0,0,0,1,1,0,0,1,0,2,1,1,2,1,1,0,0,1,1,2,1,0,2,1,1,2,0,0,1
Gus Darrell,92,LPN,Surgery,2,0,1,1,0,2,1,0,0,0,0,0,2,1,1,0,1,2,1,0,0,0,1,2,1,2,1,0,1,2,2,2,1,2,0,1,2,2,0,0,2,0
Byrd Tracie,93,LPN,Pediatric,0,1,2,0,2,1,2,1,1,0,0,0,2,1,2,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,2,2,2,2,2,1,0,2,2,1
Callie Dennis,94,NA,Oncology,0,0,1,2,2,2,1,2,2,2,1,1,2,1,1,1,0,0,2,0,1,1,2,2,1,2,1,2,2,1,1,1,0,0,2,1,1,0,2,0,2,1
Robert Judith,95,LPN,Pediatric,2,1,1,2,1,1,2,2,1,2,1,1,0,0,1,0,2,0,1,1,0,2,2,0,2,0,1,2,0,0,2,0,2,2,1,1,2,0,1,0,1,2
Gregory Billie,96,RN,Pediatric,1,2,2,0,2,1,0,0,1,1,2,0,2,1,1,0,2,1,1,1,2,2,1,1,0,1,0,1,2,1,0,1,1,2,0,0,0,2,1,0,0,1
Jaleel Wilber,97,LPN,Pediatric,0,2,2,2,2,0,2,2,0,0,2,0,0,0,0,2,2,0,1,2,0,2,2,1,2,0,2,0,2,2,2,0,0,1,0,1,1,2,2,1,1,2
Lavada Malik,98,RN,Oncology,0,2,2,2,1,1,2,0,1,2,1,0,1,1,0,0,1,1,2,2,1,1,2,2,2,2,0,0,0,0,2,0,0,0,2,0,1,2,1,2,2,1
Barbara Isham,99,NA,Oncology,1,2,1,2,0,1,1,1,1,1,0,0,2,1,2,1,1,2,1,0,2,1,1,2,0,0,2,1,0,1,2,2,1,0,0,2,2,1,2,2,2,2
Odis Rhoda,100,NA,Surgery,0,0,0,2,2,1,2,1,2,0,1,2,1,2,1,2,0,0,1,0,0,2,0,2,1,1,1,0,0,1,2,1,2,1,0,2,0,1,0,2,1,2
Nicolas Albertine,101,LPN,Oncology,1,1,0,2,0,1,1,1,0,0,0,2,2,2,2,1,1,1,1,1,0,1,1,2,1,2,2,2,0,2,1,0,2,0,1,1,0,0,1,1,1,0
Alois Hank,102,NA,Oncology,0,2,0,0,0,0,2,0,1,2,2,0,2,0,0,0,0,2,1,1,2,1,0,1,1,0,1,0,0,2,1,0,1,2,2,1,0,0,2,1,1,0
Xavier Eli,103,RN,Surgery,1,2,2,2,2,1,0,0,0,0,1,2,0,2,1,1,1,1,2,1,0,2,1,2,1,1,1,2,0,2,2,2,1,0,2,0,0,0,1,2,2,0
Araceli Alycia,104,RN,Pediatric,1,0,2,2,1,1,1,0,2,2,0,0,2,0,2,0,0,1,2,1,1,0,0,0,0,2,2,0,2,2,0,2,2,1,2,0,2,2,0,0,1,1
Myron Lionel,105,LPN,Oncology,0,0,0,2,0,0,1,1,2,0,0,0,1,1,0,1,0,1,2,2,2,1,0,0,2,1,0,2,0,0,0,1,2,1,0,1,1,1,2,2,1,1
Eldridge Marvin,106,NA,Oncology,1,2,2,1,2,0,2,0,0,1,1,2,0,0,2,0,0,2,1,0,0,1,0,2,1,0,1,1,1,2,0,0,0,1,2,2,2,0,1,0,0,1
Christina Opal,107,LPN,Surgery,2,0,1,2,1,1,1,2,1,0,2,2,0,0,2,0,2,0,0,0,1,1,1,2,0,0,0,1,1,2,2,1,2,2,1,2,1,1,2,0,0,0
Silas Rosia,108,NA,Pediatric,0,2,0,0,0,2,2,1,1,2,1,0,0,2,0,2,2,0,2,1,0,0,2,1,0,1,2,2,1,0,2,1,1,2,0,2,2,2,0,2,1,1
Karon Katlyn,109,NA,Pediatric,1,2,1,1,0,2,0,2,2,1,2,2,0,0,0,0,2,2,0,1,0,0,0,0,1,0,0,2,2,0,1,0,1,0,0,2,0,2,0,0,1,1
Rupert Leilani,110,LPN,Pediatric,0,1,2,0,1,0,0,2,2,2,2,0,1,1,2,0,0,1,1,1,0,1,2,0,2,2,1,2,0,1,2,2,2,1,0,1,2,1,0,2,1,0
Leo Marion,111,NA,Surgery,2,2,2,0,2,0,1,0,2,0,0,0,2,0,2,2,2,2,0,2,0,1,1,2,1,0,0,2,1,2,1,2,1,0,0,1,2,0,1,0,0,2
Sharonda Charmaine,112,LPN,Surgery,1,1,0,2,2,2,1,2,1,2,1,2,2,2,2,2,0,2,2,1,0,1,2,1,2,1,1,1,2,2,1,2,1,1,0,1,2,2,2,0,1,0
Merri Nat,113,LPN,Surgery,2,2,0,0,0,2,0,2,1,1,0,1,0,2,1,1,0,1,1,2,2,0,0,0,1,1,0,2,1,1,0,0,1,0,0,2,1,0,0,0,0,0
Nathan Nicholas,114,LPN,Pediatric,1,1,0,0,0,0,1,1,2,1,2,2,2,0,1,1,0,1,1,1,1,1,0,0,1,2,0,0,0,0,2,1,0,0,2,0,2,0,0,2,1,0
Ben Dulce,115,RN,Oncology,0,1,0,0,2,2,0,0,1,2,1,2,0,2,2,2,0,1,0,0,2,1,1,1,0,2,0,2,1,0,0,0,0,1,0,1,2,2,0,1,1,0
Ramon Humberto,116,RN,Oncology,0,2,1,2,2,1,0,0,2,1,2,2,1,0,0,0,2,1,1,2,1,1,0,0,2,2,0,2,2,2,0,0,1,2,1,1,1,0,1,1,2,1
Arnold Kyle,117,NA,Oncology,0,0,1,0,0,1,0,1,2,2,1,2,1,1,2,1,0,2,1,2,2,0,2,2,1,0,0,2,0,1,1,0,0,2,0,0,1,2,0,0,2,1
Dixie Stuart,118,NA,Oncology,0,2,2,1,1,1,2,2,2,0,1,0,2,2,1,2,2,2,2,2,0,0,0,1,0,2,0,0,1,1,0,2,1,2,1,2,1,0,2,1,1,0
Arne Mason,119,NA,Pediatric,1,0,0,1,0,1,2,1,2,2,0,2,0,0,2,1,2,0,2,1,1,0,2,2,0,2,2,0,2,2,1,1,0,1,1,0,1,1,0,1,2,1
Otto Retha,120,NA,Oncology,2,1,2,2,1,2,1,2,0,1,1,1,1,2,1,1,2,1,1,2,2,2,1,0,1,1,1,0,0,1,0,0,2,1,0,1,0,0,0,2,0,0
Hoyt Glynn,121,NA,Oncology,0,0,2,2,2,0,1,2,0,2,2,2,1,1,2,0,1,2,1,1,1,2,0,0,1,1,2,0,2,1,0,2,2,0,0,0,0,1,1,1,1,0
Margie Odell,122,LPN,Pediatric,1,0,2,1,2,1,0,2,2,0,0,0,0,0,0,1,0,2,0,0,0,2,2,0,2,1,1,2,0,0,2,1,0,2,1,2,2,1,2,1,0,2
Shelby Elmer,123,RN,Oncology,0,2,0,0,1,0,1,2,2,1,2,1,2,1,2,0,1,2,0,0,1,1,0,0,2,1,0,0,0,0,1,1,1,2,2,2,0,0,1,0,1,0
Giselle Thomas,124,NA,Pediatric,2,2,0,1,2,2,1,2,2,2,1,1,1,0,2,2,0,1,1,0,2,1,0,1,2,2,2,0,1,0,2,0,2,2,2,1,2,0,2,1,0,2
Hayley Pearl,125,NA,Pediatric,0,0,2,0,2,1,1,0,1,2,1,0,1,1,1,2,2,2,0,0,2,1,1,1,1,0,2,1,0,1,2,0,1,0,0,2,0,1,2,2,1,0
Tyler Honora,126,RN,Pediatric,0,2,1,0,0,2,2,0,2,1,0,0,1,1,1,1,2,1,0,0,2,2,1,2,2,0,0,2,1,2,1,1,1,2,2,1,1,0,0,0,2,1
Cornelia Sharon,127,RN,Surgery,1,1,0,2,0,2,1,0,0,0,1,0,2,2,1,1,1,0,0,0,1,2,0,1,0,2,1,1,1,0,2,1,0,0,1,1,0,1,0,2,0,0
Toby Emmett,128,LPN,Surgery,2,1,2,1,0,2,1,2,0,2,1,0,1,2,2,2,2,2,1,1,0,1,2,2,2,0,1,1,2,1,1,2,0,0,1,2,1,2,1,1,2,2
Glenn Paulette,129,LPN,Pediatric,0,1,2,2,0,1,1,1,2,2,0,0,2,0,1,0,2,1,0,0,2,0,2,0,0,0,1,0,0,2,0,0,0,2,2,2,0,0,2,2,2,0
Rosina Armani,130,NA,Surgery,0,0,1,1,1,1,2,1,0,0,2,1,1,0,2,1,1,2,2,2,2,1,0,0,1,2,1,2,1,1,1,0,2,2,2,0,1,0,2,2,0,0
Darcy Vernon,131,NA,Surgery,0,0,2,0,2,0,0,2,0,2,1,0,2,2,2,1,1,0,0,0,1,1,0,0,2,2,2,2,2,1,0,0,0,2,2,0,1,0,0,1,2,1
Lonnie Issac,132,NA,Pediatric,1,0,1,2,0,2,1,0,2,0,2,2,0,0,2,0,2,2,1,1,0,2,0,0,2,0,0,1,1,1,2,1,0,0,2,2,0,1,1,1,2,2
Isabelle Jimmie,133,NA,Pediatric,0,0,0,0,2,0,1,2,0,2,1,2,0,0,2,0,2,1,0,1,0,2,1,2,1,1,1,0,2,2,0,2,2,0,2,1,1,1,2,0,0,2
